Date Time,ESZ8,Open,High,Low,Last,Volume,Open Interest,range,Over_50_points
2015-08-24,ESZ8,1927.0,1927.25,1793.5,1833.75,5258752,3076257,133.75,True
2015-08-25,ESZ8,1835.25,1911.0,1822.5,1835.25,3658827,3069752,88.5,True
2015-08-26,ESZ8,1838.5,1905.5,1813.0,1900.5,3527300,3073835,92.5,True
2015-08-27,ESZ8,1903.75,1952.75,1897.0,1951.75,2940255,2964630,55.75,True
2015-08-28,ESZ8,1950.75,1955.25,1929.75,1952.25,1968514,2979180,25.5,False
2015-08-31,ESZ8,1948.75,1950.25,1921.75,1931.75,1876279,3011216,28.5,False
2015-09-01,ESZ8,1928.0,1928.75,1861.25,1878.5,2822050,3112082,67.5,True
2015-09-02,ESZ8,1876.0,1911.5,1869.75,1909.5,2178629,3096800,41.75,False
2015-09-03,ESZ8,1910.0,1936.0,1904.5,1908.5,2054305,3083716,31.5,False
2015-09-04,ESZ8,1909.75,1911.75,1870.25,1884.25,2138986,3137489,41.5,False
2015-09-08,ESZ8,1879.25,1931.25,1878.25,1928.25,1880634,3050459,53.0,True
2015-09-09,ESZ8,1929.0,1954.5,1898.0,1905.25,2144217,2957340,56.5,True
2015-09-10,ESZ8,1906.5,1929.5,1890.75,1911.5,1023035,806532,38.75,False
2015-09-11,ESZ8,1911.25,1924.25,1899.25,1922.0,1511006,1269688,25.0,False
2015-09-14,ESZ8,1924.75,1936.0,1908.25,1915.75,1574502,1747635,27.75,False
2015-09-15,ESZ8,1915.25,1944.75,1907.0,1941.75,2035624,2385584,37.75,False
2015-09-16,ESZ8,1942.0,1960.75,1934.5,1959.75,1644800,2665413,26.25,False
2015-09-17,ESZ8,1958.25,1983.5,1943.75,1949.0,2327768,2813414,39.75,False
2015-09-18,ESZ8,1948.25,1954.75,1913.0,1922.25,2423501,2876037,41.75,False
2015-09-21,ESZ8,1921.0,1940.75,1910.25,1934.75,1513503,2862583,30.5,False
2015-09-22,ESZ8,1936.0,1936.75,1889.5,1903.75,1985152,2876302,47.25,False
2015-09-23,ESZ8,1902.25,1913.5,1882.25,1900.25,1423965,2872265,31.25,False
2015-09-24,ESZ8,1903.5,1908.0,1869.0,1890.5,2218286,2864458,39.0,False
2015-09-25,ESZ8,1885.0,1922.75,1882.0,1891.0,2080724,2818148,40.75,False
2015-09-28,ESZ8,1887.25,1901.5,1840.5,1843.75,2354063,2885060,61.0,True
2015-09-29,ESZ8,1848.0,1861.5,1832.75,1846.25,2374651,2896165,28.75,False
2015-09-30,ESZ8,1846.75,1882.25,1843.0,1880.5,2216643,2867181,39.25,False
2015-10-01,ESZ8,1874.25,1901.25,1862.0,1888.5,2052465,2866971,39.25,False
2015-10-02,ESZ8,1888.75,1915.5,1854.75,1914.75,2466082,2898003,60.75,True
2015-10-05,ESZ8,1912.75,1951.75,1909.0,1946.5,1675519,2895436,42.75,False
2015-10-06,ESZ8,1944.75,1954.0,1934.25,1940.25,1606289,2894614,19.75,False
2015-10-07,ESZ8,1932.75,1963.0,1932.25,1959.0,1937061,2884317,30.75,False
2015-10-08,ESZ8,1959.5,1980.5,1942.75,1978.25,1803978,2917911,37.75,False
2015-10-09,ESZ8,1975.75,1985.75,1970.5,1979.25,1378359,2905895,15.25,False
2015-10-12,ESZ8,1977.0,1985.75,1973.5,1982.75,804576,2905112,12.25,False
2015-10-13,ESZ8,1983.75,1986.5,1963.0,1965.75,1518662,2880221,23.5,False
2015-10-14,ESZ8,1963.25,1973.5,1954.25,1955.75,1780661,2881542,19.25,False
2015-10-15,ESZ8,1957.5,1991.25,1956.75,1990.75,1731138,2892169,34.5,False
2015-10-16,ESZ8,1990.0,1998.25,1984.0,1997.25,1362298,2887889,14.25,False
2015-10-19,ESZ8,1996.25,1999.75,1986.0,1999.25,1306548,2890340,13.75,False
2015-10-20,ESZ8,1998.25,2003.25,1990.25,1992.25,1276349,2896843,13.0,False
2015-10-21,ESZ8,1991.5,2006.0,1979.25,1980.25,1791221,2890408,26.75,False
2015-10-22,ESZ8,1982.25,2027.75,1980.25,2024.75,2099217,2857210,47.5,False
2015-10-23,ESZ8,2026.0,2046.25,2025.0,2037.75,2067465,2788563,21.25,False
2015-10-26,ESZ8,2037.75,2039.75,2029.25,2034.0,1184323,2754513,10.5,False
2015-10-27,ESZ8,2035.5,2036.5,2023.0,2032.25,1243601,2757750,13.5,False
2015-10-28,ESZ8,2033.75,2057.0,2027.25,2056.25,1890861,2773132,29.75,False
2015-10-29,ESZ8,2052.75,2058.25,2045.0,2054.75,1407730,2779503,13.25,False
2015-10-30,ESZ8,2056.5,2066.5,2041.5,2045.5,1751269,2748794,25.0,False
2015-11-02,ESZ8,2044.75,2071.75,2036.0,2067.25,1284044,2774901,35.75,False
2015-11-03,ESZ8,2065.0,2082.0,2060.75,2074.75,1348316,2764810,21.25,False
2015-11-04,ESZ8,2074.25,2081.5,2062.25,2066.5,1546504,2767546,19.25,False
2015-11-05,ESZ8,2067.25,2076.5,2055.75,2065.75,1538081,2773738,20.75,False
2015-11-06,ESZ8,2066.5,2070.75,2049.25,2065.5,1846631,2780419,21.5,False
2015-11-09,ESZ8,2063.75,2069.5,2033.75,2044.75,1856213,2816439,35.75,False
2015-11-10,ESZ8,2044.0,2050.75,2036.25,2049.75,1286098,2826631,14.5,False
2015-11-11,ESZ8,2048.25,2059.0,2039.5,2040.75,1171396,2810012,19.5,False
2015-11-12,ESZ8,2040.25,2049.25,2011.25,2012.25,1807653,2804669,38.0,False
2015-11-13,ESZ8,2012.25,2017.75,1983.25,1990.25,2128939,2819215,34.5,False
2015-11-16,ESZ8,1978.25,2022.75,1970.25,2019.75,1711062,2803541,52.5,True
2015-11-17,ESZ8,2019.5,2035.25,2013.25,2020.75,1621036,2771239,22.0,False
2015-11-18,ESZ8,2021.5,2054.25,2014.75,2051.5,1543330,2788869,39.5,False
2015-11-19,ESZ8,2050.0,2061.0,2047.0,2051.0,1284869,2790570,14.0,False
2015-11-20,ESZ8,2050.0,2066.25,2047.75,2060.5,1273905,2751554,18.5,False
2015-11-23,ESZ8,2061.5,2064.75,2050.0,2056.0,976103,2759407,14.75,False
2015-11-24,ESZ8,2054.75,2063.25,2037.25,2056.5,1517871,2756429,26.0,False
2015-11-25,ESZ8,2055.75,2064.25,2054.0,2059.75,746319,2761335,10.25,False
2015-11-27,ESZ8,2066.5,2070.0,2053.25,2061.75,653387,2763546,16.75,False
2015-11-30,ESZ8,2061.25,2066.75,2050.25,2051.5,1389020,2764688,16.5,False
2015-12-01,ESZ8,2057.25,2073.25,2055.25,2071.75,1482186,2759024,18.0,False
2015-12-02,ESZ8,2071.25,2076.75,2046.75,2053.25,1725833,2741368,30.0,False
2015-12-03,ESZ8,2055.0,2067.0,2011.75,2023.0,2655148,2748380,55.25,True
2015-12-04,ESZ8,2025.0,2064.75,2018.5,2060.25,2269530,2668096,46.25,False
2015-12-07,ESZ8,2064.0,2067.25,2036.25,2052.75,1699318,2642562,31.0,False
2015-12-08,ESZ8,2051.75,2053.25,2022.0,2030.5,2005017,2624311,31.25,False
2015-12-09,ESZ8,2031.25,2051.5,2006.0,2013.75,2690846,2452093,45.5,False
2015-12-10,ESZ8,2016.75,2038.25,2015.25,2020.5,783692,787824,23.0,False
2015-12-11,ESZ8,2022.0,2027.25,1975.75,1980.75,2345329,1264033,51.5,True
2015-12-14,ESZ8,1981.0,1999.0,1962.75,1989.0,2652781,1775616,36.25,False
2015-12-15,ESZ8,1992.5,2025.25,1989.5,2016.5,2159593,2294823,35.75,False
2015-12-16,ESZ8,2017.0,2048.25,2010.5,2043.25,2035482,2448737,37.75,False
2015-12-17,ESZ8,2040.25,2052.25,2002.25,2004.25,2114912,2525720,50.0,True
2015-12-18,ESZ8,2003.5,2009.25,1970.5,1971.5,2118900,2570329,38.75,False
2015-12-21,ESZ8,1976.75,1999.0,1974.75,1994.5,1275266,2561504,24.25,False
2015-12-22,ESZ8,1996.5,2016.0,1986.75,2015.5,1144898,2542077,29.25,False
2015-12-23,ESZ8,2013.5,2037.25,2010.25,2032.5,1003982,2512689,27.0,False
2015-12-24,ESZ8,2032.25,2039.25,2028.5,2030.75,325205,2490347,10.75,False
2015-12-28,ESZ8,2030.75,2034.0,2014.75,2028.25,696448,2490832,19.25,False
2015-12-29,ESZ8,2029.25,2054.0,2027.0,2052.25,832686,2496174,27.0,False
2015-12-30,ESZ8,2051.5,2054.5,2033.0,2034.0,720601,2486459,21.5,False
2015-12-31,ESZ8,2034.75,2037.25,2009.75,2015.0,1029390,2492297,27.5,False
2016-01-04,ESZ8,2017.25,2023.0,1959.75,1988.5,2216549,2569569,63.25,True
2016-01-05,ESZ8,1988.5,1996.5,1971.75,1991.25,1688974,2562248,24.75,False
2016-01-06,ESZ8,1990.25,1992.75,1950.0,1965.5,2237518,2579137,42.75,False
2016-01-07,ESZ8,1967.25,1970.5,1908.0,1912.5,2969295,2610790,62.5,True
2016-01-08,ESZ8,1916.0,1944.25,1889.5,1891.0,2694404,2679953,54.75,True
2016-01-11,ESZ8,1888.75,1908.5,1872.0,1893.75,2490336,2718509,36.5,False
2016-01-12,ESZ8,1893.0,1919.75,1878.5,1904.5,2428110,2728789,41.25,False
2016-01-13,ESZ8,1902.0,1926.0,1857.5,1861.0,2899958,2767647,68.5,True
2016-01-14,ESZ8,1863.25,1907.0,1850.5,1894.0,3045826,2774821,56.5,True
2016-01-15,ESZ8,1893.0,1900.5,1828.75,1854.5,3441956,2848559,71.75,True
2016-01-19,ESZ8,1849.25,1887.0,1835.75,1852.5,2796679,2841234,51.25,True
2016-01-20,ESZ8,1851.25,1858.0,1783.75,1834.5,3929776,2867832,74.25,True
2016-01-21,ESZ8,1834.25,1862.75,1815.75,1840.5,2729407,2850850,47.0,False
2016-01-22,ESZ8,1838.0,1881.75,1835.25,1878.75,2106526,2841461,46.5,False
2016-01-25,ESZ8,1879.0,1883.75,1847.0,1849.75,1640401,2862213,36.75,False
2016-01-26,ESZ8,1851.25,1879.25,1830.75,1875.5,1780235,2870149,48.5,False
2016-01-27,ESZ8,1864.75,1889.5,1844.0,1854.5,2113363,2897826,45.5,False
2016-01-28,ESZ8,1859.5,1882.0,1845.25,1860.25,2254109,2872487,36.75,False
2016-01-29,ESZ8,1858.25,1912.5,1856.0,1909.5,2406399,2878549,56.5,True
2016-02-01,ESZ8,1909.25,1919.5,1892.0,1910.75,1748062,2888962,27.5,False
2016-02-02,ESZ8,1908.0,1908.75,1868.5,1877.0,2102411,2941058,40.25,False
2016-02-03,ESZ8,1874.5,1891.75,1844.5,1888.0,2848193,2944156,47.25,False
2016-02-04,ESZ8,1887.25,1901.75,1869.75,1887.25,2255360,2940610,32.0,False
2016-02-05,ESZ8,1884.75,1894.0,1845.25,1854.75,2320680,2998346,48.75,False
2016-02-08,ESZ8,1855.75,1864.0,1801.25,1831.5,2674512,3013528,62.75,True
2016-02-09,ESZ8,1829.25,1843.25,1805.25,1827.75,2792208,3002017,38.0,False
2016-02-10,ESZ8,1829.5,1857.25,1818.0,1826.25,2359881,3001438,39.25,False
2016-02-11,ESZ8,1821.75,1826.75,1782.0,1804.0,3203999,3021157,44.75,False
2016-02-12,ESZ8,1806.75,1840.25,1802.0,1837.75,2018154,2980271,38.25,False
2016-02-16,ESZ8,1844.75,1872.25,1844.5,1868.25,2034059,3003822,27.75,False
2016-02-17,ESZ8,1867.75,1907.5,1861.0,1902.25,1854185,2983644,46.5,False
2016-02-18,ESZ8,1906.25,1913.0,1890.75,1896.0,1615605,2975816,22.25,False
2016-02-19,ESZ8,1897.0,1902.25,1878.0,1894.0,1616647,2974705,24.25,False
2016-02-22,ESZ8,1890.5,1923.25,1887.75,1915.75,1425321,2985993,35.5,False
2016-02-23,ESZ8,1913.5,1917.5,1893.25,1895.5,1600879,2986569,24.25,False
2016-02-24,ESZ8,1893.5,1913.25,1866.25,1909.75,2315370,3001982,47.0,False
2016-02-25,ESZ8,1912.5,1931.0,1899.75,1930.0,1844284,3023219,31.25,False
2016-02-26,ESZ8,1928.5,1948.25,1920.75,1922.25,1876651,3014453,27.5,False
2016-02-29,ESZ8,1922.5,1935.75,1906.0,1909.0,1826411,3014983,29.75,False
2016-03-01,ESZ8,1907.5,1958.0,1900.25,1957.5,2035550,3008297,57.75,True
2016-03-02,ESZ8,1955.75,1964.25,1945.75,1963.0,1821662,3008594,18.5,False
2016-03-03,ESZ8,1961.25,1972.0,1954.25,1970.0,1555391,3018684,17.75,False
2016-03-04,ESZ8,1970.5,1987.0,1963.5,1974.5,2247812,3012243,23.5,False
2016-03-07,ESZ8,1974.0,1984.0,1964.0,1978.5,1633347,3005808,20.0,False
